product_id,name,category,brand,price,rating,stock,supplier,delivery_days,warranty_months,compliance_level,description,tags
P-0012,Lenovo Fleet Laptop 111,Laptop,Lenovo,574.59,4.2,34,Contoso Business Tech,12,36,Standard,"Lenovo laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, standard-delivery, value"
P-0013,Asus Fleet Laptop 112,Laptop,Asus,1399.04,4.6,169,Fabrikam Procurement,9,36,Enterprise,"Asus laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, standard-delivery, high-rating"
P-0014,Lenovo Fleet Laptop 113,Laptop,Lenovo,1035.84,4.1,68,Northwind Office Supply,7,24,ISO-Ready,"Lenovo laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, standard-delivery, value"
P-0015,Acer Ergo Laptop 114,Laptop,Acer,1057.56,4.3,190,Globex Workplace,1,48,Eco-Preferred,"Acer laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, fast-delivery, value"
P-0016,HP Ergo Laptop 115,Laptop,HP,1384.09,4.1,10,Northwind Office Supply,3,24,ISO-Ready,"HP laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, fast-delivery, value"
P-0017,Dell Ultra Laptop 116,Laptop,Dell,1025.6,4.1,84,Contoso Business Tech,6,48,Eco-Preferred,"Dell laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, standard-delivery, value"
P-0018,HP Essential Laptop 117,Laptop,HP,969.67,4.1,78,Contoso Business Tech,9,24,ISO-Ready,"HP laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, standard-delivery, value"
P-0019,HP Team Laptop 118,Laptop,HP,750.47,4.2,52,Initech Corporate Supply,11,24,Eco-Preferred,"HP laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, standard-delivery, value"
P-0020,Lenovo Plus Laptop 119,Laptop,Lenovo,643.1,4.4,193,Umbrella Office Systems,11,12,ISO-Ready,"Lenovo laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, standard-delivery, high-rating"
P-0021,Lenovo Ultra Laptop 120,Laptop,Lenovo,562.05,4.2,47,Globex Workplace,10,48,Enterprise,"Lenovo laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, standard-delivery, value"
P-0022,Asus Ultra Laptop 121,Laptop,Asus,557.07,4.8,171,Umbrella Office Systems,8,24,Enterprise,"Asus laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, standard-delivery, high-rating"
P-0023,Lenovo Fleet Laptop 122,Laptop,Lenovo,803.09,4.1,244,Northwind Office Supply,9,36,ISO-Ready,"Lenovo laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, standard-delivery, value"
P-0024,Dell Secure Laptop 123,Laptop,Dell,911.95,4.0,223,Initech Corporate Supply,3,12,ISO-Ready,"Dell laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, fast-delivery, value"
P-0025,HP Secure Laptop 124,Laptop,HP,1391.66,4.2,141,Initech Corporate Supply,6,24,Business,"HP laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, standard-delivery, value"
P-0026,LG Ultra Monitor 100,Monitor,LG,348.29,4.6,49,Contoso Business Tech,11,12,Business,"LG monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, standard-delivery, high-rating"
P-0027,Dell Secure Monitor 101,Monitor,Dell,268.64,4.5,251,Northwind Office Supply,2,24,Business,"Dell monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, fast-delivery, high-rating"
P-0028,BenQ Fleet Monitor 102,Monitor,BenQ,371.63,4.9,104,Contoso Business Tech,6,24,ISO-Ready,"BenQ monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, standard-delivery, high-rating"
P-0029,LG Ultra Monitor 103,Monitor,LG,385.44,4.6,191,Umbrella Office Systems,11,24,Enterprise,"LG monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, standard-delivery, high-rating"
P-0030,Samsung Ergo Monitor 104,Monitor,Samsung,548.29,3.9,100,Umbrella Office Systems,6,24,Enterprise,"Samsung monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, standard-delivery, value"
P-0031,ViewSonic Secure Monitor 105,Monitor,ViewSonic,482.62,4.4,192,Contoso Business Tech,1,12,Business,"ViewSonic monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, fast-delivery, high-rating"
P-0032,Samsung Secure Monitor 106,Monitor,Samsung,381.64,4.5,98,Globex Workplace,6,12,ISO-Ready,"Samsung monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, standard-delivery, high-rating"
P-0033,Samsung Team Monitor 107,Monitor,Samsung,351.3,4.4,239,Globex Workplace,10,36,Standard,"Samsung monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, standard-delivery, high-rating"
P-0034,Samsung Essential Monitor 108,Monitor,Samsung,328.84,4.9,146,Northwind Office Supply,8,48,Eco-Preferred,"Samsung monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, standard-delivery, high-rating"
P-0035,Samsung Team Monitor 109,Monitor,Samsung,332.95,4.9,168,Northwind Office Supply,2,24,Business,"Samsung monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, fast-delivery, high-rating"
P-0036,BenQ Ultra Monitor 110,Monitor,BenQ,558.9,4.5,69,Globex Workplace,3,48,Standard,"BenQ monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, fast-delivery, high-rating"
P-0037,LG Plus Monitor 111,Monitor,LG,163.92,4.2,119,Initech Corporate Supply,11,48,ISO-Ready,"LG monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, standard-delivery, value"
P-0038,Samsung Pro Monitor 112,Monitor,Samsung,616.89,4.4,248,Initech Corporate Supply,8,24,Business,"Samsung monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, standard-delivery, high-rating"
P-0039,BenQ Ergo Monitor 113,Monitor,BenQ,602.79,4.7,238,Contoso Business Tech,4,24,Standard,"BenQ monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, fast-delivery, high-rating"
P-0040,Samsung Essential Monitor 114,Monitor,Samsung,242.64,4.9,252,Umbrella Office Systems,5,36,Enterprise,"Samsung monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, fast-delivery, high-rating"
P-0041,BenQ Essential Monitor 115,Monitor,BenQ,491.05,4.6,84,Northwind Office Supply,1,36,Business,"BenQ monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, fast-delivery, high-rating"
P-0042,Dell Ultra Monitor 116,Monitor,Dell,607.91,3.9,238,Globex Workplace,2,36,Eco-Preferred,"Dell monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, fast-delivery, value"
P-0043,BenQ Plus Monitor 117,Monitor,BenQ,223.45,4.2,250,Umbrella Office Systems,5,36,Business,"BenQ monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, fast-delivery, value"
P-0044,ViewSonic Ultra Monitor 118,Monitor,ViewSonic,664.92,4.5,202,Umbrella Office Systems,5,48,ISO-Ready,"ViewSonic monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, fast-delivery, high-rating"
P-0045,Samsung Pro Monitor 119,Monitor,Samsung,376.99,4.4,131,Initech Corporate Supply,2,12,Standard,"Samsung monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, fast-delivery, high-rating"
P-0046,BenQ Ergo Monitor 120,Monitor,BenQ,377.36,4.7,79,Initech Corporate Supply,4,48,Enterprise,"BenQ monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, fast-delivery, high-rating"
P-0047,ViewSonic Secure Monitor 121,Monitor,ViewSonic,262.66,4.5,173,Globex Workplace,1,24,Standard,"ViewSonic monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, fast-delivery, high-rating"
P-0048,LG Fleet Monitor 122,Monitor,LG,567.01,4.0,31,Northwind Office Supply,9,48,Standard,"LG monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, standard-delivery, value"
P-0049,Dell Team Monitor 123,Monitor,Dell,171.77,4.9,230,Umbrella Office Systems,6,24,Eco-Preferred,"Dell monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, standard-delivery, high-rating"
P-0050,Samsung Pro Monitor 124,Monitor,Samsung,144.75,4.4,173,Umbrella Office Systems,5,36,Eco-Preferred,"Samsung monitor for enterprise procurement, team onboarding and managed office equipment refreshes.","monitor, office, enterprise, fast-delivery, high-rating"
P-0051,Keychron Fleet Keyboard 100,Keyboard,Keychron,77.16,4.1,90,Northwind Office Supply,8,24,Enterprise,"Keychron keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, standard-delivery, value"
P-0052,HP Essential Keyboard 101,Keyboard,HP,55.48,4.7,98,Contoso Business Tech,1,24,Business,"HP keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, fast-delivery, high-rating"
P-0053,Microsoft Pro Keyboard 102,Keyboard,Microsoft,96.76,4.2,24,Initech Corporate Supply,12,36,Business,"Microsoft keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, standard-delivery, value"
P-0054,Microsoft Ergo Keyboard 103,Keyboard,Microsoft,117.09,4.2,48,Initech Corporate Supply,5,48,Enterprise,"Microsoft keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, fast-delivery, value"
P-0055,HP Essential Keyboard 104,Keyboard,HP,113.01,4.2,222,Fabrikam Procurement,3,48,Standard,"HP keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, fast-delivery, value"
P-0056,Dell Fleet Keyboard 105,Keyboard,Dell,33.19,4.8,128,Umbrella Office Systems,11,48,Standard,"Dell keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, standard-delivery, high-rating"
P-0057,Microsoft Ergo Keyboard 106,Keyboard,Microsoft,27.55,3.9,256,Initech Corporate Supply,7,12,Eco-Preferred,"Microsoft keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, standard-delivery, value"
P-0058,Dell Secure Keyboard 107,Keyboard,Dell,69.33,4.6,197,Initech Corporate Supply,10,36,ISO-Ready,"Dell keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, standard-delivery, high-rating"
P-0059,Dell Pro Keyboard 108,Keyboard,Dell,64.86,4.5,26,Northwind Office Supply,7,24,Eco-Preferred,"Dell keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, standard-delivery, high-rating"
P-0060,Logitech Team Keyboard 109,Keyboard,Logitech,25.42,4.6,71,Initech Corporate Supply,7,12,Eco-Preferred,"Logitech keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, standard-delivery, high-rating"
P-0061,HP Fleet Keyboard 110,Keyboard,HP,158.58,4.7,178,Initech Corporate Supply,2,48,Standard,"HP keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, fast-delivery, high-rating"
P-0062,Microsoft Essential Keyboard 111,Keyboard,Microsoft,119.36,4.6,73,Contoso Business Tech,5,36,Business,"Microsoft keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, fast-delivery, high-rating"
P-0063,Keychron Pro Keyboard 112,Keyboard,Keychron,63.62,4.0,32,Globex Workplace,12,12,Business,"Keychron keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, standard-delivery, value"
P-0064,HP Fleet Keyboard 113,Keyboard,HP,116.51,4.5,60,Initech Corporate Supply,1,48,Business,"HP keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, fast-delivery, high-rating"
P-0065,Microsoft Team Keyboard 114,Keyboard,Microsoft,153.17,3.9,199,Initech Corporate Supply,1,36,Eco-Preferred,"Microsoft keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, fast-delivery, value"
P-0066,Microsoft Ultra Keyboard 115,Keyboard,Microsoft,62.63,4.3,65,Northwind Office Supply,10,12,Standard,"Microsoft keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, standard-delivery, value"
P-0067,Logitech Ergo Keyboard 116,Keyboard,Logitech,88.47,4.7,243,Initech Corporate Supply,9,48,Standard,"Logitech keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, standard-delivery, high-rating"
P-0068,Dell Ultra Keyboard 117,Keyboard,Dell,107.35,3.9,124,Umbrella Office Systems,12,12,Eco-Preferred,"Dell keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, standard-delivery, value"
P-0069,Keychron Ergo Keyboard 118,Keyboard,Keychron,54.71,4.7,163,Umbrella Office Systems,2,48,Eco-Preferred,"Keychron keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, fast-delivery, high-rating"
P-0070,HP Plus Keyboard 119,Keyboard,HP,68.32,4.4,211,Initech Corporate Supply,12,48,Business,"HP keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, standard-delivery, high-rating"
P-0071,HP Essential Keyboard 120,Keyboard,HP,110.7,4.4,85,Umbrella Office Systems,10,36,Eco-Preferred,"HP keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, standard-delivery, high-rating"
P-0072,Dell Pro Keyboard 121,Keyboard,Dell,128.59,4.0,100,Umbrella Office Systems,2,36,ISO-Ready,"Dell keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, fast-delivery, value"
P-0073,Microsoft Pro Keyboard 122,Keyboard,Microsoft,45.35,4.7,145,Umbrella Office Systems,6,24,Eco-Preferred,"Microsoft keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, standard-delivery, high-rating"
P-0074,Logitech Team Keyboard 123,Keyboard,Logitech,125.8,4.1,140,Fabrikam Procurement,3,36,Enterprise,"Logitech keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, fast-delivery, value"
P-0075,Logitech Plus Keyboard 124,Keyboard,Logitech,146.54,4.4,74,Initech Corporate Supply,3,24,Business,"Logitech keyboard for enterprise procurement, team onboarding and managed office equipment refreshes.","keyboard, office, enterprise, fast-delivery, high-rating"
P-0076,Logitech Ergo Mouse 100,Mouse,Logitech,75.36,4.5,178,Umbrella Office Systems,7,48,Enterprise,"Logitech mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, standard-delivery, high-rating"
P-0077,Razer Essential Mouse 101,Mouse,Razer,27.05,4.7,149,Globex Workplace,7,24,ISO-Ready,"Razer mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, standard-delivery, high-rating"
P-0078,Anker Fleet Mouse 102,Mouse,Anker,41.49,4.7,83,Initech Corporate Supply,7,12,Business,"Anker mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, standard-delivery, high-rating"
P-0079,Logitech Team Mouse 103,Mouse,Logitech,47.59,4.6,232,Initech Corporate Supply,2,24,Enterprise,"Logitech mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, fast-delivery, high-rating"
P-0080,Microsoft Ergo Mouse 104,Mouse,Microsoft,106.44,4.2,94,Contoso Business Tech,10,36,Business,"Microsoft mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, standard-delivery, value"
P-0081,Anker Secure Mouse 105,Mouse,Anker,59.43,4.1,255,Umbrella Office Systems,1,36,Enterprise,"Anker mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, fast-delivery, value"
P-0082,Razer Essential Mouse 106,Mouse,Razer,93.54,4.8,186,Fabrikam Procurement,4,12,Eco-Preferred,"Razer mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, fast-delivery, high-rating"
P-0083,Razer Ultra Mouse 107,Mouse,Razer,17.94,4.8,141,Northwind Office Supply,1,36,ISO-Ready,"Razer mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, fast-delivery, high-rating"
P-0084,Logitech Ultra Mouse 108,Mouse,Logitech,83.38,4.1,201,Northwind Office Supply,4,36,Business,"Logitech mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, fast-delivery, value"
P-0085,Dell Essential Mouse 109,Mouse,Dell,20.45,4.4,161,Fabrikam Procurement,5,12,Standard,"Dell mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, fast-delivery, high-rating"
P-0086,Anker Pro Mouse 110,Mouse,Anker,66.74,3.9,187,Fabrikam Procurement,10,12,Standard,"Anker mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, standard-delivery, value"
P-0087,Razer Essential Mouse 111,Mouse,Razer,81.28,4.0,124,Globex Workplace,1,36,Business,"Razer mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, fast-delivery, value"
P-0088,Dell Team Mouse 112,Mouse,Dell,82.89,4.6,69,Contoso Business Tech,7,48,Standard,"Dell mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, standard-delivery, high-rating"
P-0089,Razer Plus Mouse 113,Mouse,Razer,90.86,4.1,251,Contoso Business Tech,11,48,Standard,"Razer mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, standard-delivery, value"
P-0090,Anker Plus Mouse 114,Mouse,Anker,49.87,4.4,160,Fabrikam Procurement,8,12,Enterprise,"Anker mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, standard-delivery, high-rating"
P-0091,Razer Plus Mouse 115,Mouse,Razer,70.3,4.6,243,Initech Corporate Supply,5,36,Standard,"Razer mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, fast-delivery, high-rating"
P-0092,Dell Team Mouse 116,Mouse,Dell,61.67,4.3,211,Northwind Office Supply,10,12,Business,"Dell mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, standard-delivery, value"
P-0093,Dell Ultra Mouse 117,Mouse,Dell,23.68,4.1,125,Umbrella Office Systems,7,36,Standard,"Dell mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, standard-delivery, value"
P-0094,Logitech Fleet Mouse 118,Mouse,Logitech,44.46,4.8,248,Globex Workplace,8,48,ISO-Ready,"Logitech mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, standard-delivery, high-rating"
P-0095,Logitech Plus Mouse 119,Mouse,Logitech,89.28,4.0,204,Globex Workplace,6,48,Business,"Logitech mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, standard-delivery, value"
P-0096,Razer Ergo Mouse 120,Mouse,Razer,32.27,4.2,119,Globex Workplace,3,24,Enterprise,"Razer mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, fast-delivery, value"
P-0097,Razer Plus Mouse 121,Mouse,Razer,109.86,4.6,185,Fabrikam Procurement,12,12,Standard,"Razer mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, standard-delivery, high-rating"
P-0098,Logitech Pro Mouse 122,Mouse,Logitech,28.54,4.2,147,Northwind Office Supply,9,36,Enterprise,"Logitech mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, standard-delivery, value"
P-0099,Anker Secure Mouse 123,Mouse,Anker,94.35,4.4,121,Contoso Business Tech,1,48,Enterprise,"Anker mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, fast-delivery, high-rating"
P-0100,Anker Essential Mouse 124,Mouse,Anker,108.97,4.7,188,Northwind Office Supply,5,48,Eco-Preferred,"Anker mouse for enterprise procurement, team onboarding and managed office equipment refreshes.","mouse, office, enterprise, fast-delivery, high-rating"
P-0101,Jabra Ergo Headset 100,Headset,Jabra,60.4,4.5,225,Contoso Business Tech,4,12,Business,"Jabra headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, fast-delivery, high-rating"
P-0102,Jabra Secure Headset 101,Headset,Jabra,139.41,3.9,228,Initech Corporate Supply,6,12,ISO-Ready,"Jabra headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, standard-delivery, value"
P-0103,Logitech Essential Headset 102,Headset,Logitech,83.89,4.6,75,Umbrella Office Systems,11,24,Standard,"Logitech headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, standard-delivery, high-rating"
P-0104,Poly Pro Headset 103,Headset,Poly,117.1,4.9,167,Globex Workplace,9,24,Standard,"Poly headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, standard-delivery, high-rating"
P-0105,Jabra Ultra Headset 104,Headset,Jabra,134.6,4.2,217,Umbrella Office Systems,8,48,Business,"Jabra headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, standard-delivery, value"
P-0106,Sony Pro Headset 105,Headset,Sony,117.97,4.6,75,Globex Workplace,1,48,ISO-Ready,"Sony headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, fast-delivery, high-rating"
P-0107,Anker Essential Headset 106,Headset,Anker,45.42,3.8,18,Initech Corporate Supply,8,24,Business,"Anker headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, standard-delivery, value"
P-0108,Poly Plus Headset 107,Headset,Poly,143.06,4.0,222,Northwind Office Supply,6,24,Standard,"Poly headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, standard-delivery, value"
P-0109,Logitech Pro Headset 108,Headset,Logitech,149.52,4.8,143,Fabrikam Procurement,7,48,ISO-Ready,"Logitech headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, standard-delivery, high-rating"
P-0110,Poly Secure Headset 109,Headset,Poly,250.92,4.5,233,Northwind Office Supply,6,24,Enterprise,"Poly headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, standard-delivery, high-rating"
P-0111,Poly Plus Headset 110,Headset,Poly,131.7,4.3,54,Fabrikam Procurement,2,48,Business,"Poly headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, fast-delivery, value"
P-0112,Sony Ultra Headset 111,Headset,Sony,237.94,4.3,146,Contoso Business Tech,2,24,Eco-Preferred,"Sony headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, fast-delivery, value"
P-0113,Anker Fleet Headset 112,Headset,Anker,128.41,3.8,176,Northwind Office Supply,5,12,ISO-Ready,"Anker headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, fast-delivery, value"
P-0114,Sony Plus Headset 113,Headset,Sony,148.02,3.8,166,Initech Corporate Supply,7,24,Business,"Sony headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, standard-delivery, value"
P-0115,Anker Secure Headset 114,Headset,Anker,197.92,4.0,46,Contoso Business Tech,2,24,Enterprise,"Anker headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, fast-delivery, value"
P-0116,Sony Ergo Headset 115,Headset,Sony,40.65,4.7,28,Contoso Business Tech,9,12,Enterprise,"Sony headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, standard-delivery, high-rating"
P-0117,Logitech Ultra Headset 116,Headset,Logitech,45.46,4.5,219,Globex Workplace,12,12,Business,"Logitech headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, standard-delivery, high-rating"
P-0118,Sony Pro Headset 117,Headset,Sony,105.36,3.8,106,Globex Workplace,7,24,Eco-Preferred,"Sony headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, standard-delivery, value"
P-0119,Jabra Pro Headset 118,Headset,Jabra,199.44,4.9,146,Globex Workplace,12,12,Enterprise,"Jabra headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, standard-delivery, high-rating"
P-0120,Sony Fleet Headset 119,Headset,Sony,166.12,4.0,15,Globex Workplace,5,12,Eco-Preferred,"Sony headset for enterprise procurement, team onboarding and managed office equipment refreshes.","headset, office, enterprise, fast-delivery, value"
